146位のチームA pt	2,232,449 pt
100位のチームB pt	4,107,144 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,828,315 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:34 集計時点BY SKDN
100位のチームA pt	2,362,104 pt
100位のチームB pt	4,107,144 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,828,315 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:34 集計時点
100位のチームA pt	2,362,104 pt
100位のチームB pt	4,107,144 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,829,727 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:35 集計時点
100位のチームA pt	2,362,104 pt
100位のチームB pt	4,107,144 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,832,528 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:35 集計時点BY SKDN
100位のチームA pt	2,362,104 pt
100位のチームB pt	4,107,144 pt
100位のチームC pt	2,627,405 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,832,528 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:35 集計時点
100位のチームA pt	2,362,104 pt
100位のチームB pt	4,107,144 pt
100位のチームC pt	2,630,464 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,833,941 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:36 集計時点
100位のチームA pt	2,362,104 pt
100位のチームB pt	4,107,144 pt
100位のチームC pt	2,632,190 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,834,042 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:36 集計時点BY SKDN
100位のチームA pt	2,362,104 pt
100位のチームB pt	4,107,144 pt
100位のチームC pt	2,632,190 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,834,042 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:36 集計時点
100位のチームA pt	2,362,104 pt
100位のチームB pt	4,107,144 pt
100位のチームC pt	2,633,796 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,834,042 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:37 集計時点
100位のチームA pt	2,362,104 pt
100位のチームB pt	4,107,144 pt
100位のチームC pt	2,637,492 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,838,043 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:37 集計時点BY SKDN
100位のチームA pt	2,362,104 pt
100位のチームB pt	4,107,144 pt
100位のチームC pt	2,637,492 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,838,043 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:37 集計時点
100位のチームA pt	2,362,104 pt
100位のチームB pt	4,108,618 pt
100位のチームC pt	2,640,945 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,838,144 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:38 集計時点
100位のチームA pt	2,362,104 pt
100位のチームB pt	4,110,060 pt
100位のチームC pt	2,640,945 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,841,053 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:38 集計時点BY SKDN
100位のチームA pt	2,362,104 pt
100位のチームB pt	4,110,060 pt
100位のチームC pt	2,640,945 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,841,053 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:38 集計時点
100位のチームA pt	2,362,104 pt
100位のチームB pt	4,110,060 pt
100位のチームC pt	2,640,945 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,844,595 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:39 集計時点
100位のチームA pt	2,362,209 pt
100位のチームB pt	4,110,060 pt
100位のチームC pt	2,641,379 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,844,793 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:39 集計時点BY SKDN
100位のチームA pt	2,362,209 pt
100位のチームB pt	4,110,060 pt
100位のチームC pt	2,641,379 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,844,793 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:39 集計時点
100位のチームA pt	2,365,413 pt
100位のチームB pt	4,112,762 pt
100位のチームC pt	2,641,379 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,847,701 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:40 集計時点
100位のチームA pt	2,378,576 pt
100位のチームB pt	4,112,763 pt
100位のチームC pt	2,641,379 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:40 集計時点BY SKDN
100位のチームA pt	2,378,576 pt
100位のチームB pt	4,112,763 pt
100位のチームC pt	2,641,379 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:40 集計時点
100位のチームA pt	2,380,690 pt
100位のチームB pt	4,112,763 pt
100位のチームC pt	2,641,379 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:41 集計時点
100位のチームA pt	2,380,691 pt
100位のチームB pt	4,112,763 pt
100位のチームC pt	2,641,379 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:41 集計時点BY SKDN
100位のチームA pt	2,380,691 pt
100位のチームB pt	4,112,763 pt
100位のチームC pt	2,641,379 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:41 集計時点
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,112,763 pt
100位のチームC pt	2,641,379 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:42 集計時点BY SKDN
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,112,763 pt
100位のチームC pt	2,641,379 pt
100位のチームD pt	2,830,090 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:42 集計時点
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,112,763 pt
100位のチームC pt	2,641,379 pt
100位のチームD pt	2,832,653 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:43 集計時点
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,116,050 pt
100位のチームC pt	2,641,379 pt
100位のチームD pt	2,832,653 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:43 集計時点BY SKDN
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,116,050 pt
100位のチームC pt	2,641,379 pt
100位のチームD pt	2,832,653 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:45 集計時点BY SKDN
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,116,050 pt
100位のチームC pt	2,641,379 pt
100位のチームD pt	2,832,653 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:43 集計時点
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,116,050 pt
100位のチームC pt	2,641,379 pt
100位のチームD pt	2,832,653 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:44 集計時点
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,116,050 pt
100位のチームC pt	2,641,379 pt
100位のチームD pt	2,832,653 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:45 集計時点
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,118,420 pt
100位のチームC pt	2,641,379 pt
100位のチームD pt	2,835,031 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:45 集計時点BY SKDN
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,118,420 pt
100位のチームC pt	2,641,379 pt
100位のチームD pt	2,835,031 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,941,966 pt
100位のチームI pt	3,507,924 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:45 集計時点
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,120,853 pt
100位のチームC pt	2,641,379 pt
100位のチームD pt	2,835,852 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,943,637 pt
100位のチームI pt	3,513,398 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:47 集計時点
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,121,838 pt
100位のチームC pt	2,645,928 pt
100位のチームD pt	2,836,503 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,943,637 pt
100位のチームI pt	3,513,398 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:47 集計時点BY SKDN
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,121,838 pt
100位のチームC pt	2,645,928 pt
100位のチームD pt	2,836,503 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,943,637 pt
100位のチームI pt	3,513,398 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:47 集計時点
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,121,838 pt
100位のチームC pt	2,646,028 pt
100位のチームD pt	2,838,617 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,943,637 pt
100位のチームI pt	3,513,398 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:48 集計時点
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,121,838 pt
100位のチームC pt	2,646,408 pt
100位のチームD pt	2,838,617 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,943,637 pt
100位のチームI pt	3,513,398 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:48 集計時点BY SKDN
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,121,838 pt
100位のチームC pt	2,646,408 pt
100位のチームD pt	2,838,617 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,943,637 pt
100位のチームI pt	3,513,398 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:48 集計時点
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,121,838 pt
100位のチームC pt	2,646,408 pt
100位のチームD pt	2,838,617 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,943,637 pt
100位のチームI pt	3,513,398 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:49 集計時点
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,121,838 pt
100位のチームC pt	2,658,315 pt
100位のチームD pt	2,838,617 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,943,637 pt
100位のチームI pt	3,513,398 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:49 集計時点BY SKDN
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,121,838 pt
100位のチームC pt	2,658,315 pt
100位のチームD pt	2,838,617 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,943,637 pt
100位のチームI pt	3,513,398 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:49 集計時点
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,121,838 pt
100位のチームC pt	2,658,678 pt
100位のチームD pt	2,838,617 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,943,637 pt
100位のチームI pt	3,513,398 pt
100位のチームJ pt	3,263,530 pt
※10/29(土)17:50 集計時点
100位のチームA pt	2,381,551 pt
100位のチームB pt	4,121,838 pt
100位のチームC pt	2,658,678 pt
100位のチームD pt	2,840,357 pt
100位のチームE pt	3,169,510 pt
100位のチームF pt	4,848,804 pt
100位のチームG pt	2,286,444 pt
100位のチームH pt	2,943,637 pt
100位のチームI pt	3,513,398 pt
100位のチームJ pt	3,263,530 pt
※10/29(土) 17:50 集計時点BY SKDN
100位のチームA pt	2,381,551 pt
